n,Runtime (seconds)
100,0.0
100,0.0
100,0.0
100,0.0
100,0.0
1000,0.013075113296508789
1000,0.004737138748168945
1000,0.04808163642883301
1000,0.0
1000,0.0500943660736084
5000,0.030263900756835938
5000,0.015615701675415039
5000,1.2693445682525635
5000,0.0
5000,1.6543259620666504
10000,0.042380571365356445
10000,0.049863576889038086
10000,5.024052619934082
10000,0.0
10000,6.750236511230469
20000,0.10937285423278809
20000,0.09375309944152832
20000,21.082738876342773
20000,0.0
20000,27.67773151397705
30000,0.15619969367980957
30000,0.15738129615783691
30000,46.835697650909424
30000,0.011410713195800781
30000,63.617799520492554
40000,0.23437857627868652
40000,0.20313811302185059
40000,85.45009517669678
40000,0.015616178512573242
40000,112.51759099960327
50000,0.3124511241912842
50000,0.2656707763671875
50000,133.88592147827148
50000,0.0
50000,181.5104784965515
60000,0.34818148612976074
60000,0.32547473907470703
60000,187.075528383255
60000,0.01562190055847168
